product_id,title,authors,original_price,current_price,quantity,category,n_review,avg_rating,pages,manufacturer,cover_link,trending_score,tags
67060008,"Phát Triển Trí Tuệ Cảm Xúc - Gấu Ơi, Con Lo Lắng Đến Chừng Nào?",Jayneen Sanders,50000,30000,911.0,Kiến Thức Bách Khoa,91,5.0,40,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/23/4d/63/2c2a12ce291bd8c02f3814c66c07d9f8.jpg,22.608942885245202,"jayneen sanders, kiến thức bách khoa"
21031780,Pháo Đài Số ( Tái Bản ),Dan Brown,199000,134000,1759.0,Truyện trinh thám,361,4.7,585,Không rõ,https://salt.tikicdn.com/ts/product/b6/1e/a5/81b4a728dc8c73efdb3107392068f802.jpg,27.690727795581125,"dan brown, truyện trinh thám"
56226544,Tam Quốc Diễn Nghĩa - 2 Tập (Bìa Cứng - Tái Bản 2020),La Quán Trung,390000,265000,1039.0,Tác phẩm kinh điển,306,4.8,1892,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/dd/8c/cc/d12ce7860ff1505fc7e8a87785cc2b2d.jpg,27.488869188418544,"la quán trung, tác phẩm kinh điển"
144203242,9 Lần Khởi Nghiệp - Chuyện Kể Về Những Thất Bại Và Thành Công Của Một Triệu Phú,Nguyễn Phương Nam,199000,149000,2130.0,Sách doanh nhân,284,5.0,260,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/97/8f/1a/c2ab55263198c2a381255dc80ae587b9.png,28.262445901343256,"nguyễn phương nam, sách doanh nhân"
113583126,Ngữ Pháp Tiếng Anh (Tái Bản),Mai Lan Hương,89000,61400,1745.0,Sách Học Tiếng Anh,306,5.0,280,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/1c/d0/6d/239240e30ec576388022a7dc40c2ef20.jpg,28.634238737935984,"mai lan hương, sách học tiếng anh"
44911503,Lập Kế Hoạch Quản Lý Tài Chính Cá Nhân,Kristy Shen,158000,94800,3207.0,Sách kỹ năng làm việc,473,4.7,524,Không rõ,https://salt.tikicdn.com/ts/product/c6/3f/e0/2fe415747d11023e19b3ce3aff6c0058.jpg,28.957674411966863,"kristy shen, sách kỹ năng làm việc"
52329758,1Q84 -Tập 3 (Tái Bản 2020),Haruki Murakami,148000,88800,436.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,67,4.7,300,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/5b/29/4b/4881bfd9b5bd7c1633dba64581e6156b.jpg,19.831686214327704,"haruki murakami, truyện giả tưởng huyền bí phiêu lưu"
480216,Quấn Quít,Émile Ajar,54000,27000,575.0,Tiểu Thuyết,9,5.0,,Không rõ,https://salt.tikicdn.com/media/catalog/product/d/e/demo3-quanquit.jpg,11.51292546497023,"émile ajar, tiểu thuyết"
186578233,Trúc thư dao 2 (Nước Tấn - Gió nổi cung đình),Văn Giản Tử,219000,131400,215.0,Truyện ngôn tình,41,4.8,648,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/6b/2b/70/51ec766342f10131095312f0d593130f.jpg,17.940814167760166,"văn giản tử, truyện ngôn tình"
3082815,Tự Truyện Benjamin Franklin (Tái Bản),Không rõ,109000,70850,239.0,Tiểu sử - Hồi ký,43,5.0,238,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/11/40/27/53c5067f2149580321b7e7df75f26e30.jpg,18.920948169591306,"không rõ, tiểu sử hồi ký"
25123732,Combo 48 Nguyên Tắc Chủ Chốt Của Quyền Lực và Nghệ Thuật Quyến Rũ ( Tặng Kèm Sổ Tay Xương Rồng),Robert Greene,415000,356900,311.0,Sách tư duy - Kỹ năng sống,50,5.0,1169,Không rõ,https://salt.tikicdn.com/ts/product/7d/61/93/ba99022c5aa6886272d6959dbbb284b4.jpg,19.659128163621627,"robert greene, sách tư duy kỹ năng sống"
131876308,Sách Bán Hàng Cảm Xúc,Không rõ,199000,199000,382.0,Sách Marketing - Bán hàng ,54,4.8,254,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/52/c2/67/0a45ac2b638fa1f7221547c3fcb56dd3.jpg,19.23519928911586,"không rõ, sách marketing bán hàng "
200628215,Ngược Dòng Tiền Kiếp,Shelley A. Kaehr,189000,133000,63.0,Sách tư duy - Kỹ năng sống,3,5.0,424,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/d0/8c/75/3469a947da31d2fd32aaec18420e0f0c.jpg,6.931471805599453,"shelley a. kaehr, sách tư duy kỹ năng sống"
170708227,Con Mình Chẳng Lẽ Lại Vứt,Nhiều tác giả,159000,100800,292.0,Sách Làm Cha Mẹ,19,4.6,328,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/7d/af/d4/36377ccb4a58794021c161e530349578.jpg,13.780368458348358,"nhiều tác giả, sách làm cha mẹ"
836114,Cái Bóng Của Bí Mật,Kim Jung - Hyuk,108000,43200,324.0,Tác phẩm kinh điển,13,4.5,424,Không rõ,https://salt.tikicdn.com/media/catalog/product/c/a/cai-bong-cua-bi-mat-01.u5465.d20170822.t145232.505274.jpg,11.875757983268663,"kim jung hyuk, tác phẩm kinh điển"
58627102,Sổ Tay Nhà Thôi Miên,Cao Minh,145000,106000,5100.0,Lĩnh vực khác,1140,4.7,352,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/5e/d2/3b/06159d088a9e8c9861899b9a7f0e8acd.jpg,33.086403644351755,"cao minh, lĩnh vực khác"
193151000,"Trend Following – Cách thức để kiếm được VẬN MAY LỚN và GIÀU CÓ trong các thị trường BÒ, GẤU và các sự kiện THIÊN NGA ĐEN",Không rõ,599000,599000,572.0,"Sách tài chính, tiền tệ",74,4.7,,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/87/63/96/46d3675ddce39d7924c85284c8f8f17e.jpg,20.292194133620658,"không rõ, sách tài chính, tiền tệ"
180396223,Sách 7 Thói Quen Hiệu Quả (The 7 Habits Of Highly Effective People)- Tặng sổ tay,Stephen R. Covey,250000,212500,276.0,Sách hướng nghiệp - Kỹ năng mềm,24,5.0,536,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/ts/product/0d/7e/c2/189c7f6153891ae7e67a37a6daf57efd.jpg,16.094379124341003,"stephen r. covey, sách hướng nghiệp kỹ năng mềm"
170297937,Tâm Lý Học Về Sự Lo Âu,Đổng Tâm Khiết,129000,90001,508.0,Sách tư duy - Kỹ năng sống,62,5.0,304,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/04/d0/8b/26e45ecfd393ffffd2c34b213da1fcb0.jpg,20.715673631957664,"đổng tâm khiết, sách tư duy kỹ năng sống"
138934617,Tô Màu Phát Triển Trí Não Bộ Cho Bé 1-3 Tuổi - Tập 3,Không rõ,16000,9600,204.0,Tô màu - Luyện chữ  ,22,5.0,10,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/1e/93/4d/b312e51ffd88c9aa334cf00e182c7870.jpg,15.677471079645748,"không rõ, tô màu luyện chữ  "
377644,Chờ Đến Mẫu Giáo Thì Đã Muộn,Ibuka Masaru,69000,55100,36933.0,Sách Làm Cha Mẹ,671,4.7,240,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/media/catalog/product/c/h/cho-den-mau-giao-thi-da-muon.jpg,30.598214200458806,"ibuka masaru, sách làm cha mẹ"
194959693,Hàn Quốc Quốc Gia Gây Sững Sờ,DANIEL TUDOR,225000,152001,101.0,Bài học kinh doanh,6,4.8,408,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/17/b8/43/0543673510a79e492b53759ae06b2701.jpg,9.340368715465504,"daniel tudor, bài học kinh doanh"
120219392,Người Thầy (Hồi Ức Của Một Nhà Giáo Mỹ),Frank McCourt,118000,70800,542.0,Tiểu sử - Hồi ký,78,4.8,335,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/16/25/1c/e6cf9ebf933ce4449b906c1638677f85.jpg,20.9733496918417,"frank mccourt, tiểu sử hồi ký"
156224977,Sống Đơn Giản Cho Mình Thanh Thản (Tái Bản),Shunmyo Masuno,85000,59500,302.0,Sách hướng nghiệp - Kỹ năng mềm,36,5.0,197,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/93/72/91/ab5fd0d568957a3cede8c9e733e04bda.jpg,18.05458956322112,"shunmyo masuno, sách hướng nghiệp kỹ năng mềm"
197344442,Những Đứa Con Rải Rác Trên Đường (Bản Đặc Biệt),Hồ Anh Thái,330000,230001,28.0,Truyện ngắn - Tản văn - Tạp Văn,5,5.0,,Nhà Xuất Bản Trẻ,https://salt.tikicdn.com/ts/product/50/43/20/1f49441f31087b49c91ac1dda1861454.jpg,8.958797346140274,"hồ anh thái, truyện ngắn tản văn tạp văn"
203875661,( Khóa Học ) IELTS Fighter Target 6.5 Speaking,Không rõ,0,0,56.0,Sách Học Tiếng Anh,0,0.0,,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/11/b3/ec/4c63b80d412cb86d13bd5bd1e3119296.jpg,0.0,"không rõ, sách học tiếng anh"
177569697,Perfect Ielts Vocabulary (Tái Bản),William Jang,259000,165000,164.0,Sách Học Tiếng Anh,20,5.0,600,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/03/77/ff/601dcc9980060707344f2514ef51cd81.jpg,15.222612188617115,"william jang, sách học tiếng anh"
17961776,Danh Gia Cổ Vật - Kỳ Án Đầu Phật,Mã Bá Dung,150000,142500,69.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,24,5.0,532,Không rõ,https://salt.tikicdn.com/ts/product/ab/37/34/03e2cbb6ecb55b669e45c96dd17c763f.jpg,16.094379124341003,"mã bá dung, truyện giả tưởng huyền bí phiêu lưu"
192474352,Vẻ Đẹp Của Sự Vừa Đủ,Rachel Wilkerson Miller,136000,97800,181.0,Sách nghệ thuật sống đẹp,20,5.0,320,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/8c/6b/a6/b5059a796cf86e4610cd985a2e43fbb9.jpg,15.222612188617115,"rachel wilkerson miller, sách nghệ thuật sống đẹp"
5743605,Thiện Xạ Tartarin,Alphonse Daudet,66000,35001,273.0,Tiểu Thuyết,11,4.5,172,Không rõ,https://salt.tikicdn.com/ts/product/d3/75/91/d365448debff9fa32d662538a266e65b.jpg,11.182079924046002,"alphonse daudet, tiểu thuyết"
195545322,Khi Bạn Đang Mơ Thì Người Khác Đang Nỗ Lực,Vĩ Nhân,136000,95000,207.0,Sách tư duy - Kỹ năng sống,30,5.0,416,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/88/88/6b/b1aa074a2129abfd56f9a0e7eddf329f.jpg,17.16993602242573,"vĩ nhân, sách tư duy kỹ năng sống"
33758313,Những con đường tơ lụa,Peter Frankopan,490000,385000,1577.0,Lịch Sử Thế Giới,239,5.0,858,Không rõ,https://salt.tikicdn.com/ts/product/ee/ed/08/fac17deac09e4973c12624b21a7bdc95.jpg,27.403194616709957,"peter frankopan, lịch sử thế giới"
162832796,Rilla Dưới Mái Nhà Bên Ánh Lửa,Lucy Maud Montgomery,200000,120000,534.0,Tác phẩm kinh điển,99,5.0,520,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/46/d4/c5/256f0bce9c7242e3f763240fda75bf07.jpg,23.02585092994046,"lucy maud montgomery, tác phẩm kinh điển"
